Town,WQI,WQI_Class
Tombia 1,102.6139890918344,Poor
Okolobiri 3,102.77744621510985,Poor
Okolobiri 5,108.49980858240279,Poor
Ogbuna 1,108.84872718256177,Poor
Swail 2,109.43368225718976,Poor
Ekeki 1,109.97154222479773,Poor
Gbarantoru 3,111.4823102725834,Poor
Ogbuna 3,112.69658923596407,Poor
Yenizue Epie 1,113.39688232256817,Poor
Swail 1,113.55604650039747,Poor
Akaibiri 1,114.1595064672625,Poor
Akenfa 1,114.92714718501348,Poor
Ogbuna 4,115.49878019851263,Poor
Okolobiri 2,115.97941742631929,Poor
Etegwe 1,117.82421246127444,Poor
Tombia 4,117.85093648078394,Poor
Gbarantoru 5,118.22487553955767,Poor
Okolobiri 1,120.96017561533719,Poor
Tombia 2,121.23386024249449,Poor
Igbogene 2,121.74265632127548,Poor
Akaba 2,124.26708793025313,Poor
Akenfa 2,124.67778053283409,Poor
Yenagwe 2,125.06243762304887,Poor
Opolo 2,125.23393906806042,Poor
Ogu 2,134.44202663798933,Poor
Yenizue Epie 2,138.10536233014616,Poor
Igbogene 1,187.71387985601888,Poor
