EC,TDS,NO3,Cl,SO4,TA,TH,Ca,Mg,Na,K,Iron,pH
406,203,0.36,39,1.4,26,25,22.4,6.35,10.86,4.2,0.6,6.12
715,356,0.165,15,0.8,15,45,8.5,2.48,4.0,1.46,0.14,6.3
857,430,0.335,21,1.67,17,18,13.7,3.0,6.5,1.55,0.4,6.38
782,391,0.175,14,0.86,19,37,8.85,2.5,4.85,0.76,0.37,6.1
164,82,0.165,14,0.82,3,35,8.6,2.76,4.54,1.2,0.38,5.99
175,84,0.094,16,0.48,5,32,9.0,2.85,5.2,1.4,0.3,5.93
763,383,0.085,14,0.45,16,30,7.4,2.38,4.74,1.2,0.15,5.6
1156,578,0.096,22,0.5,15,46,12.48,3.62,5.8,1.8,0.35,6.69
269,135,0.348,34,1.75,16,101,20.0,5.65,9.95,4.0,0.14,6.14
1652,826,0.42,47,2.1,15,45,27.86,7.5,13.58,4.65,0.36,6.74
422,211,0.204,37,0.96,18,91,21.48,6.2,9.84,2.62,0.16,6.05
722,361,0.49,23,2.45,9,33,16.74,4.4,7.6,2.5,0.36,6.87
928,464,0.078,16,0.39,18,27,9.2,2.58,5.4,1.8,0.26,6.43
160,80,0.162,24,0.8,12,56,14.56,3.8,6.0,2.26,0.12,6.2
530,265,0.17,8,0.86,3,15,6.75,1.76,3.85,0.6,0.18,6.91
496,248,0.137,13,1.28,8,65,8.16,2.42,5.82,1.76,0.39,6.33
164,82,0.341,55,5.6,9,93,33.97,8.7,15.9,5.38,0.4,6.13
334,167,0.23,58,5.5,16,200,34.5,8.84,17.4,5.4,0.7,5.88
173,87,0.22,46,4.38,17,128,27.6,7.45,13.54,5.1,0.68,6.01
164,82,0.165,14,0.82,3,35,8.6,2.76,4.54,1.2,0.8,5.99
91,46,0.132,14,1.42,14,56,8.78,1.96,4.62,0.78,0.32,5.85
84,42,0.374,43,3.4,22,90,26.74,6.4,12.43,2.7,0.65,5.93
94,48,0.41,65,5.6,24,115,35.6,7.64,14.9,5.4,0.4,6.38
348,174,0.127,14,1.38,12,26,9.5,2.64,4.86,1.36,0.11,5.86
422,211,0.318,90,10.8,22,148,56.88,12.76,28.64,7.34,0.44,6.4
194,97,0.187,22,0.28,10,47,12.69,4.2,6.38,2.42,0.112,6.74
486,243,0.172,19,1.64,17,116,11.28,3.54,5.38,1.34,0.35,6.46
77,38,0.213,40,4.0,14,111,23.86,5.72,12.58,2.55,0.4,5.99
160,80,0.162,24,0.8,12,56,14.56,3.8,6.0,2.26,0.12,6.2
172,86,0.348,52,5.25,4,41,29.78,6.88,16.7,4.4,0.43,6.28
285,142,0.218,14,2.48,17,17,10.35,2.87,5.48,1.72,0.31,6.14
355,178,0.231,20,3.5,18,34,14.36,3.54,7.6,1.3,0.364,6.59
420,210,0.31,20,4.0,20,52,13.3,4.2,6.5,2.6,0.136,6.01
583,292,0.318,34,4.8,18,48,22.18,5.68,9.45,2.8,0.32,5.97
363,182,0.22,20,3.85,12,36,14.7,2.53,6.84,1.76,0.36,5.96
364,182,0.23,30,3.64,17,30,13.82,4.86,8.35,2.18,0.132,5.92
310,155,0.197,12,3.0,18,26,17.48,2.25,5.42,3.2,0.38,6.15
379,189,0.271,13,4.3,17,43,9.47,2.84,5.46,1.85,0.348,6.49
304,152,0.176,14,2.34,18,27,10.2,3.0,4.96,1.41,0.186,6.35
279,140,0.185,11,2.97,23,30,9.78,2.56,3.75,1.92,0.36,6.52
285,143,0.121,12,2.58,15,21,8.5,2.58,4.34,6.98,0.372,6.08
382,191,0.278,62,4.84,17,43,32.76,10.72,18.68,2.5,0.388,6.15
457,274,0.328,16,4.75,17,44,13.6,3.52,7.48,1.2,0.374,5.99
348,174,0.281,12,3.84,26,41,9.55,2.84,4.72,1.48,0.328,6.6
298,199,0.217,12,3.76,23,35,9.28,1.78,5.46,1.24,0.146,6.83
306,153,0.227,13,4.0,28,35,10.32,2.1,4.8,1.2,0.346,6.62
436,218,0.29,14,3.46,24,45,9.88,3.0,5.75,2.25,0.33,6.24
307,154,0.214,21,3.2,21,22,13.25,4.34,6.58,3.74,0.39,6.08
376,188,0.245,32,4.0,22,19,18.72,5.63,9.36,3.96,0.136,6.1
357,178,0.235,33,3.85,18,10,19.3,5.82,9.65,1.55,0.382,5.67
